State,pop_density,another, prank, pop_2015, bogus, area, bogus2
New Jersey,1,"1,210.10",467.2,11,"8,958,013",46,"7,354","19,046.80"
Rhode Island,2,"1,021.60",394.4,43,"1,056,298",50,"1,034","2,678.00"
Massachusetts,3,871.1,336.3,15,"6,794,422",45,"7,800","20,201.90"
Connecticut,4,741.6,286.3,29,"3,590,886",48,"4,842","12,540.70"
Maryland,5,618.7,238.9,19,"6,006,401",42,"9,707","25,141.00"
Delaware,6,485.3,187.4,45,"945,934",49,"1,949","5,047.90"
New York,7,420.1,162.2,4,"19,795,791",30,"47,126","122,055.80"
Florida,8,378,145.9,3,"20,271,272",26,"53,625","138,888.10"
Pennsylvania,9,286.1,110.5,6,"12,802,503",32,"44,743","115,883.80"
Ohio,10,284.2,109.7,7,"11,613,423",35,"40,861","105,829.50"
California,11,251.3,97,1,"39,144,818",3,"155,779","403,465.80"
Illinois,12,231.6,89.4,5,"12,859,995",24,"55,519","143,793.50"
Hawaii,13,222.9,86.1,40,"1,431,603",47,"6,423","16,635.50"
Virginia,14,212.3,82,12,"8,382,993",36,"39,490","102,278.60"
North Carolina,15,206.6,79.8,9,"10,042,802",29,"48,618","125,920.00"
Indiana,16,184.8,71.4,16,"6,619,680",38,"35,826","92,788.90"
Georgia,17,177.6,68.6,8,"10,214,860",21,"57,513","148,958.00"
Michigan,18,175.5,67.8,10,"9,922,576",22,"56,539","146,435.30"
South Carolina,19,162.9,62.9,23,"4,896,146",40,"30,061","77,857.60"
Tennessee,20,160.1,61.8,17,"6,600,299",34,"41,235","106,798.20"
New Hampshire,21,148.6,57.4,41,"1,330,608",44,"8,953","23,188.20"
Kentucky,22,112,43.2,26,"4,425,092",37,"39,486","102,268.30"
Louisiana,23,108.1,41.7,25,"4,670,724",33,"43,204","111,897.80"
Washington,24,107.9,41.7,13,"7,170,351",20,"66,456","172,120.20"
Wisconsin,25,106.6,41.2,20,"5,771,337",25,"54,158","140,268.60"
Texas,26,105.2,40.6,2,"27,469,114",2,"261,232","676,587.80"
Alabama,27,95.9,37,24,"4,858,979",28,"50,645","131,169.90"
Missouri,28,88.5,34.2,18,"6,083,672",18,"68,742","178,041.00"
West Virginia,29,76.7,29.6,38,"1,844,128",41,"24,038","62,258.10"
Minnesota,30,68.9,26.6,21,"5,489,594",14,"79,627","206,233.00"
Vermont,31,67.9,26.2,49,"626,042",43,"9,217","23,871.90"
Mississippi,32,63.8,24.6,32,"2,992,333",31,"46,923","121,530.00"
Arizona,33,60.1,23.2,14,"6,828,065",6,"113,594","294,207.10"
Arkansas,34,57.2,22.1,33,"2,978,204",27,"52,035","134,770.00"
Oklahoma,35,57,22,28,"3,911,338",19,"68,595","177,660.20"
Iowa,36,55.9,21.6,30,"3,123,899",23,"55,857","144,669.00"
Colorado,37,52.6,20.3,22,"5,456,574",8,"103,642","268,431.50"
Maine,38,43.1,16.6,42,"1,329,328",39,"30,843","79,883.00"
Oregon,39,42,16.2,27,"4,028,977",10,"95,988","248,607.80"
Utah,40,36.5,14.1,31,"2,995,919",12,"82,170","212,819.30"
Kansas,41,35.6,13.7,34,"2,911,641",13,"81,759","211,754.80"
Nevada,42,26.3,10.2,35,"2,890,845",7,"109,781","284,331.50"
Nebraska,43,24.7,9.5,37,"1,896,190",15,"76,824","198,973.20"
Idaho,44,20,7.7,39,"1,654,930",11,"82,643","214,044.40"
New Mexico,45,17.2,6.6,36,"2,085,109",5,"121,298","314,160.40"
South Dakota,46,11.3,4.4,46,"858,469",16,"75,811","196,349.60"
North Dakota,47,11,4.2,47,"756,927",17,"69,001","178,711.80"
Montana,48,7.1,2.7,44,"1,032,949",4,"145,546","376,962.40"
Wyoming,49,6,2.3,50,"586,107",9,"97,093","251,469.70"
Alaska,50,1.3,0.5,48,"738,432",1,"570,641","1,477,953.40"
